date,symbol,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-03,000001,000001,11.35,11.92,12.0,11.2,2194128,2971546989.04,7.07,5.39,0.61,1.13
2023-01-03,000002,000002,17.42,17.55,17.82,17.2,636400,1158945281.2,3.54,0.17,0.03,0.65
2023-01-03,600519,600519,1579.87,1578.68,1587.1,1554.68,26034,4487760231.0,2.06,0.19,3.01,0.21
2023-01-04,000001,000001,11.86,12.47,12.57,11.78,2189683,3110729449.03,6.63,4.61,0.55,1.13
2023-01-04,000002,000002,17.57,18.39,18.6,17.39,1087147,2060317406.33,6.89,4.79,0.84,1.12
2023-01-04,600519,600519,1578.67,1573.68,1587.37,1564.67,20416,3523582306.0,1.44,-0.32,-5.0,0.16
2023-01-05,000001,000001,12.55,12.63,12.89,12.52,1665425,2417272355.99,2.97,1.28,0.16,0.86
2023-01-05,000002,000002,18.32,18.65,18.8,18.22,705245,1357011735.35,3.15,1.41,0.26,0.73
2023-01-05,600519,600519,1585.67,1649.67,1649.67,1581.67,47943,8541587089.0,4.32,4.83,75.99,0.38
2023-01-06,000001,000001,12.65,12.77,12.87,12.63,1195745,1747915169.26,1.9,1.11,0.14,0.62
2023-01-06,000002,000002,18.93,18.54,19.01,18.32,721240,1391208648.38,3.7,-0.59,-0.11,0.74
2023-01-06,600519,600519,1654.79,1652.44,1660.57,1635.67,24904,4480838898.0,1.51,0.17,2.77,0.2
2023-01-09,000001,000001,12.9,12.95,13.03,12.67,1057659,1561368487.3,2.82,1.41,0.18,0.55
2023-01-09,000002,000002,18.61,18.1,18.67,18.0,685066,1292008007.55,3.61,-2.37,-0.44,0.71
2023-01-09,600519,600519,1683.67,1689.87,1698.65,1656.49,30977,5684181147.0,2.55,2.27,37.43,0.25
2023-01-10,000001,000001,12.91,12.59,13.04,12.54,1269423,1851093716.76,3.86,-2.78,-0.36,0.65
2023-01-10,000002,000002,18.1,18.12,18.29,17.97,482080,906180275.22,1.77,0.11,0.02,0.5
2023-01-10,600519,600519,1687.73,1703.12,1713.17,1679.17,22732,4204783734.0,2.01,0.78,13.25,0.18
2023-01-11,000001,000001,12.6,12.82,12.93,12.54,830566,1217450811.64,3.1,1.83,0.23,0.43
2023-01-11,000002,000002,18.14,18.31,18.63,18.12,669313,1273464590.19,2.81,1.05,0.19,0.69
2023-01-11,600519,600519,1704.67,1693.62,1708.67,1685.51,22720,4201487773.0,1.36,-0.56,-9.5,0.18
2023-01-12,000001,000001,12.92,12.82,12.92,12.68,625695,914367699.65,1.87,0.0,0.0,0.32
2023-01-12,000002,000002,18.17,17.92,18.2,17.63,679413,1260184288.98,3.11,-2.13,-0.39,0.7
2023-01-12,600519,600519,1696.67,1682.67,1704.67,1681.67,17193,3162637136.0,1.36,-0.65,-10.95,0.14
2023-01-13,000001,000001,12.82,13.1,13.1,12.7,949086,1407181074.29,3.12,2.18,0.28,0.49
2023-01-13,000002,000002,17.77,18.1,18.1,17.77,414362,771628014.51,1.84,1.0,0.18,0.43
2023-01-13,600519,600519,1692.85,1735.67,1736.67,1688.67,31940,5969876222.0,2.85,3.15,53.0,0.25
